Date,Close,High,Low,Open,Volume,simple_return_o2c,log_return_o2c,squared_return,abs_return
2023-10-20,19542.65039,19593.80078,19518.69922,19542.15039,198300,2.558572061017728e-05,2.558539330121065e-05,6.546123503776348e-10,2.558539330121065e-05
2023-10-23,19281.75,19556.84961,19257.84961,19521.59961,176000,-0.0122863707273832,-0.01236247216294,0.0001528307179794664,0.01236247216294
2023-10-25,19122.15039,19347.30078,19074.15039,19286.44922,225300,-0.0085188739578678,-0.0085553669653123,7.3194303911157e-05,0.0085553669653123
2023-10-26,18857.25,19041.69922,18837.84961,19027.25,300400,-0.0089345543890998,-0.008974706862056,8.054536325983506e-05,0.008974706862056
2023-10-27,19047.25,19076.15039,18926.65039,18928.75,205200,0.006260318298884,0.0062408039081331,3.894763341976937e-05,0.0062408039081331
2023-10-30,19140.90039,19158.5,18940.0,19053.40039,180100,0.0045923561258873,0.0045818434315641,2.0993289231367088e-05,0.0045818434315641
2023-10-31,19079.59961,19233.69922,19056.44922,19232.94922,206000,-0.0079732758739118,-0.0080052324168958,6.408374604851938e-05,0.0080052324168958
2023-11-01,18989.15039,19096.05078,18973.69922,19064.05078,194100,-0.0039288811629991,-0.0039366194918954,1.5496973023970796e-05,0.0039366194918954
2023-11-02,19133.25,19175.25,19064.15039,19120.0,245600,0.0006929916317992,0.0006927516239742,4.799048125188915e-07,0.0006927516239742
2023-11-03,19230.59961,19276.25,19210.90039,19241.0,189500,-0.0005405327165947,-0.0005406788570684,2.9233362648079135e-07,0.0005406788570684
2023-11-06,19411.75,19423.0,19309.69922,19345.84961,180700,0.0034064355574197,0.0034006467981149,1.156439864552912e-05,0.0034006467981149
2023-11-07,19406.69922,19423.5,19329.09961,19404.05078,198700,0.0001364890264421,0.0001364797126624,1.8626711968411266e-08,0.0001364797126624
2023-11-08,19443.5,19464.40039,19401.5,19449.59961,195000,-0.0003136110831229,-0.0003136602693625,9.838276457655608e-08,0.0003136602693625
2023-11-09,19395.30078,19463.90039,19378.34961,19457.40039,208400,-0.0031915676686138,-0.003196671583258,1.0218709211209208e-05,0.003196671583258
2023-11-10,19425.34961,19451.30078,19329.44922,19351.84961,152200,0.0037980865643985,0.0037908920448078,1.4370862495387063e-05,0.0037908920448078
2023-11-13,19443.55078,19494.40039,19414.75,19486.75,189300,-0.0022168509371751,-0.0022193117887807,4.92534481582099e-06,0.0022193117887807
2023-11-15,19675.44922,19693.19922,19579.65039,19651.40039,291500,0.0012237718189405,0.0012230236205619,1.4957867764523383e-06,0.0012230236205619
2023-11-16,19765.19922,19875.25,19627.0,19674.69922,282700,0.0045998161897184,0.0045892693651647,2.1061393306039206e-05,0.0045892693651647
2023-11-17,19731.80078,19806.0,19667.44922,19674.75,236800,0.0028996952947306,0.0028954992878001,8.383916125650885e-06,0.0028954992878001
2023-11-20,19694.0,19756.44922,19670.5,19731.15039,173800,-0.00188282939746,-0.0018846041487825,3.5517327976082112e-06,0.0018846041487825
2023-11-21,19783.40039,19829.09961,19754.05078,19770.90039,195000,0.0006322423234867,0.0006320425425112,3.9947777554402205e-07,0.0006320425425112
2023-11-22,19811.84961,19825.55078,19703.84961,19784.0,184500,0.0014076834816012,0.0014066936240376,1.9787869519080365e-06,0.0014066936240376
2023-11-23,19802.0,19875.15039,19786.75,19828.44922,170000,-0.0013339026015872,-0.0013347930415907,1.781672463878952e-06,0.0013347930415907
2023-11-24,19794.69922,19832.84961,19768.84961,19809.59961,145900,-0.0007521802708461,-0.000752463300361,5.662010183901685e-07,0.000752463300361
2023-11-28,19889.69922,19916.84961,19800.0,19844.65039,229600,0.0022700742575287,0.0022675015317448,5.141563196465014e-06,0.0022675015317448
2023-11-29,20096.59961,20104.65039,19956.30078,19976.55078,236200,0.0060094873895941,0.0059915024378432,3.589810146268101e-05,0.0059915024378432
